ID,Category,Date,Quantity,Priority,Location,Details,Status
1,Delivery Position,9/17/2025,72,Medium,"Hollyhaven, VA","From Rivera-Mejia to 566 Walker Ports Suite 752
Benjaminport, MI 48006",Completed
2,Corporate Event,8/27/2025,600,Medium,"Ortizland, CO",Product Launch by Perez LLC,Completed
3,Pre-order,4/3/2026,57,High,"Nicoleborough, WY",Sneakers (SKU: 5796d20d),Shipped
4,Pre-order,5/7/2025,42,Medium,"North Stephanieshire, TN",Book (SKU: e896e984),Cancelled
5,Delivery Position,7/18/2025,63,High,"South Katherine, WV","From Allen Ltd to 327 Camacho Fall
South Lori, PR 31112",Completed
6,Delivery Position,1/31/2025,58,Medium,"Brooksbury, ID","From Franklin Group to 2335 Taylor Meadow Apt. 119
East Erica, TX 37767",In Transit
7,Delivery Position,1/24/2025,41,Medium,"Thompsonberg, NE","From Hernandez, Perry and Cooper to 996 Jamie Villages
Port Jesse, AR 32549",In Transit
8,Corporate Event,11/2/2025,550,Low,"Patriciaville, OK","Shareholder Meeting by Haney, Archer and Garcia",Planned
9,Pre-order,2/10/2025,44,Low,"Mccoyville, TX",Sneakers (SKU: 31d7147c),Pending
10,Pre-order,11/24/2025,37,Low,"East Sara, FM",Furniture (SKU: c7d0903c),Shipped
11,Delivery Position,8/31/2024,46,Medium,"Romanburgh, NM","From Butler LLC to Unit 0228 Box 6314
DPO AA 78721",Completed
12,Corporate Event,11/15/2025,470,Low,"Lake Kellyborough, SC",Shareholder Meeting by Velazquez-Bentley,Completed
13,Corporate Event,5/7/2025,490,Medium,"West Stevenberg, OH",Product Launch by Manning-Scott,Completed
14,Delivery Position,4/13/2025,53,High,"Rogersview, WY","From Johnson-Middleton to 164 David Garden
North Tracymouth, ME 70537",Completed
15,Delivery Position,6/14/2024,55,High,"East Jillton, SC","From Brown Group to 936 Dixon Dale Suite 757
Lake Cynthiaport, MT 32909",Completed
16,Delivery Position,10/22/2024,57,Medium,"West Lindsay, ID","From Reed-Baxter to 55455 Heath Knoll Apt. 527
Catherinefurt, MO 64969",Completed
17,Delivery Position,6/23/2025,51,Medium,"East Saraborough, HI","From Green PLC to 3105 Tiffany Stream
Meghanside, LA 34458",Delayed
18,Pre-order,6/8/2024,42,Medium,"East Ryan, MH",Laptop (SKU: ddb95ca6),Pending
19,Delivery Position,6/24/2024,53,Low,"South Alanborough, NE","From Villanueva-Rodriguez to 0347 Edward Throughway
Rebeccaburgh, FL 81288",Completed
20,Delivery Position,11/8/2024,52,High,"Tonyborough, OH","From Murillo, Bailey and Stone to 653 Shannon Corners Suite 251
New Jennyfurt, AS 77124",Completed
21,Pre-order,10/6/2025,47,High,"East Amber, KY",Furniture (SKU: 029c660e),Pending
22,Delivery Position,1/9/2025,39,Low,"Jenkinsbury, PR","From Blankenship-Sanchez to 94215 Lori Expressway
East Jaredside, DE 48754",Completed
23,Delivery Position,10/18/2025,31,High,"New Allisonchester, FL","From Webb-Hernandez to 79513 Michelle Island Apt. 991
North Christinaville, MA 22283",Completed
24,Delivery Position,11/25/2025,49,Medium,"West Jenniferborough, MD","From Haley-Green to 7869 Cruz Flat
Sandersfort, MP 60248",Completed
25,Delivery Position,3/7/2025,52,Medium,"Kimborough, DC","From Hopkins Inc to 534 Miller Ways Suite 552
South Rebeccaton, NE 46121",Completed
26,Pre-order,6/15/2024,58,Medium,"Hufffurt, WY",Furniture (SKU: 5b24dd84),Shipped
27,Delivery Position,4/13/2026,43,High,"Lake Maryfurt, NH","From Turner-Pittman to 6959 Joseph Stravenue Suite 748
Lake Stephanieport, MN 09999",Completed
28,Pre-order,3/24/2025,54,High,"West Amandaberg, NV",Furniture (SKU: e85de3aa),Pending
29,Pre-order,2/11/2026,55,High,"Danaberg, WY",Book (SKU: 138e4eb1),Shipped
30,Delivery Position,9/24/2024,56,Medium,"Lake Michaelmouth, MT","From Harrell LLC to 578 Powell Station Suite 187
Lake Stevenburgh, NY 58628",Completed
31,Pre-order,10/27/2024,48,Medium,"Kellytown, WV",Book (SKU: 4ce96225),Pending
32,Delivery Position,12/1/2025,39,Medium,"Lake Brittany, IL","From Gomez, Wright and Williams to PSC 5584, Box 5453
APO AE 66376",Completed
33,Delivery Position,8/4/2025,52,Medium,"Charlesmouth, TX","From Wiggins Inc to 332 Cook Landing
Adamsfort, KY 06692",Completed
34,Corporate Event,3/3/2026,500,Low,"Wheelertown, RI","Team Building by Johnson, Miles and Hall",Planned
35,Corporate Event,7/26/2025,510,High,"West Williambury, PR","Conference by Patterson, Dennis and Hull",Completed
36,Corporate Event,11/8/2025,390,Medium,"Gallegoschester, MO",Shareholder Meeting by Zamora-Patterson,Completed
37,Delivery Position,5/15/2026,45,Medium,"West Jamesmouth, CT","From Hill, Melton and Wallace to USS Hansen
FPO AP 79798",Completed
38,Delivery Position,11/26/2025,60,Medium,"Ericborough, TX","From Hall-Miller to 1554 Mary Divide
Michaelborough, NE 11139",In Transit
39,Pre-order,8/14/2025,44,Medium,"Coryborough, OK",Book (SKU: 3f32bd60),Pending
